,place_name,cordinates,Longitude,Latitude
0,VM9998321,"0.12763654,52.21563339",0.12763654,52.21563339
1,iCCNW,"0.12666512,52.21468735",0.12666512,52.21468735
2,iCCNW,"0.12737361,52.21469498",0.12737361,52.21469498
3,(no SSID),"0.12685496,52.21472549",0.12685496,52.21472549
4,(no SSID),"0.12675039,52.21467972",0.12675039,52.21467972
5,(no SSID),"0.12766062,52.21511841",0.12766062,52.21511841
6,csatdigital,"0.12551361,52.21553421",0.12551361,52.21553421
7,FERRY2016,"0.1280193,52.21344376",0.1280193,52.21344376
8,DrayTek_Guest,"0.12576132,52.21485901",0.12576132,52.21485901
9,MelcRouter,"0.13030568,52.2128067",0.13030568,52.2128067
10,Staff private wifi,"0.12481779,52.21583176",0.12481779,52.21583176
11,Staff private wifi,"0.12495333,52.21568298",0.12495333,52.21568298
12,SEV Demo,"0.12542261,52.21489716",0.12542261,52.21489716
13,Cambridge Light Blue,"0.12737361,52.21469498",0.12737361,52.21469498
14,Light Blue Guest,"0.12799206,52.21469498",0.12799206,52.21469498
15,Ysanne UP,"0.13160473,52.21316147",0.13160473,52.21316147
16,Ysanne UP-5G,"0.1315456,52.21292114",0.1315456,52.21292114
17,Westbrook Centre,"0.12487556,52.2159729",0.12487556,52.2159729
18,Alan Tongue's Network,"0.13059779,52.21279907",0.13059779,52.21279907
19,LCC-STD,"0.12550814,52.21478271",0.12550814,52.21478271
20,Dumbletons's ,"0.12540922,52.21485519",0.12540922,52.21485519
21,Peter Hilken's Network,"0.12798302,52.2142067",0.12798302,52.2142067
22,Dumbletons's ,"0.12542261,52.21489716",0.12542261,52.21489716
23,admin,"0.12659508,52.21472931",0.12659508,52.21472931
24,BTHub3-XSX9,"0.12656625,52.21474838",0.12656625,52.21474838
25,PLUSNET-7N6HF3,"0.12945351,52.21433258",0.12945351,52.21433258
26,jump-local,"0.12550814,52.21478271",0.12550814,52.21478271
27,(no SSID),"0.12485245,52.21593475",0.12485245,52.21593475
28,Visitor,"0.12485245,52.21593475",0.12485245,52.21593475
29,(no SSID),"0.12485245,52.21593475",0.12485245,52.21593475
30,(no SSID),"0.12477817,52.21570206",0.12477817,52.21570206
31,FERRY2016,"0.12804972,52.21323776",0.12804972,52.21323776
32,Craig-y-Don,"0.13012777,52.2134552",0.13012777,52.2134552
33,BTHub3-4WCJ,"0.12481592,52.21575928",0.12481592,52.21575928
34,BTHub3-PT3J,"0.12549968,52.21552277",0.12549968,52.21552277
35,Bread & Butter,"0.12545361,52.2149353",0.12545361,52.2149353
36,virginmedia2180572,"0.12764768,52.21567917",0.12764768,52.21567917
37,virginmedia7738123,"0.13017265,52.21281052",0.13017265,52.21281052
38,BTHub3-TS96,"0.12375204,52.21693039",0.12375204,52.21693039
39,eaglelabsToYou,"0.12540922,52.21485519",0.12540922,52.21485519
40,EagleLabs-wifi,"0.12545361,52.2149353",0.12545361,52.2149353
41,EagleLabs-wifi,"0.12554169,52.21499252",0.12554169,52.21499252
42,BTBHub6-T3KM,"0.12723576,52.21470261",0.12723576,52.21470261
43,BTBHub6-T3KM,"0.12685496,52.21472549",0.12685496,52.21472549
44,BTBHub6-X7WM,"0.13038734,52.21458817",0.13038734,52.21458817
45,BTBHub6-X7WM,"0.13047303,52.21459961",0.13047303,52.21459961
46,BTBHub6-R97R,"0.12832287,52.21430969",0.12832287,52.21430969
47,BTBHub6-R97R,"0.12889676,52.21442413",0.12889676,52.21442413
48,TALKTALK70A1C9_Ext,"0.12969337,52.21447372",0.12969337,52.21447372
49,BTHub3-QQKK,"0.13008769,52.21321869",0.13008769,52.21321869
50,COSTA,"0.12488051,52.21599197",0.12488051,52.21599197
51,(no SSID),"0.12731445,52.21468353",0.12731445,52.21468353
52,(no SSID),"0.12666512,52.21468735",0.12666512,52.21468735
53,(no SSID),"0.12545361,52.2149353",0.12545361,52.2149353
54,(no SSID),"0.12766062,52.21511841",0.12766062,52.21511841
55,(no SSID),"0.12565368,52.21508408",0.12565368,52.21508408
