postcode_sector,domestic_delivery_points
LE10 1,5430
HG4 4,1220
EC3M 8,5
CH61 6,1041
EH46 7,1545
GU3 2,1315
WR5 1,4442
WD25 8,665
DN17 3,3341
M22 9,3803
S6 6,3397
SN2 5,2604
BA14 6,3379
G22 5,2445
CH1 6,2211
M90 4,27
AB41 6,1390
SO51 7,3445
CF3 2,1509
TN3 9,1706
SP4 9,2501
CB2 0,712
NR32 3,4198
DE72 3,7819
W1B 5,48
LE7 4,1482
PA69 6,21
E11 4,5449
PR25 4,2693
SN10 4,2193
WR15 8,3447
NN11 4,5423
OX17 2,3029
YO25 4,2152
S70 1,2931
L30 6,175
G73 5,2804
L15 8,1749
GL2 9,3521
PL30 5,1868
CH42 2,1141
DL3 8,3497
BN23 7,3729
PO16 7,3672
LL65 3,2909
WF1 3,3831
IP1 3,1743
NN1 5,3711
EH55 8,3934
CR8 1,1898
SE23 1,3840
ML11 7,3566
BH1 2,1052
W2 5,4110
CB24 9,3452
KW1 4,2708
TF3 2,3517
TW11 0,3030
SG10 6,875
KW8 6,511
SK4 4,3862
B3 3,73
DH4 7,4214
SY7 0,1773
L9 4,556
KA6 5,1913
SN5 4,2045
HU18 1,4335
TR15 1,3061
NG6 7,2065
SO41 3,1612
GL13 9,2719
TS7 9,2912
NE48 1,415
PE5 7,665
B70 9,3122
TQ13 9,4034
EX6 6,1491
NE47 0,397
LS23 6,3674
SP7 9,1588
PE8 6,3795
N4 4,2570
LS21 2,3335
CV4 9,8238
SM5 3,3280
CW9 6,2528
DL17 0,2853
CH44 1,1158
WV13 3,3491
CH61 4,1149
SE3 0,2714
IP24 3,3556
W1H 2,515
L1 3,188
SO16 7,2831
NW3 3,3099
OL1 4,4133
PE32 2,3146
B63 2,5521
B74 2,4169
L1 9,717
OL16 5,2579
DA12 4,5566
CA10 1,2802
DL2 1,2854
PA26 8,89
OX29 9,1007
ME11 5,1618
PA62 6,27
LN2 2,5247
HD7 4,3620
DN5 9,4958
SG12 9,2694
KT6 5,2983
LL22 9,2140
AB24 1,3150
SY10 0,1132
TN26 1,1192
TW16 6,2844
TN4 9,5471
CH62 0,658
L33 7,270
PE24 5,4183
LS29 9,2726
M5 4,4723
LN4 4,4993
WF4 2,3053
L28 1,850
CH46 3,862
GU10 3,1642
M6 7,3761
EC2V 8,7
SK23 6,1102
CT9 2,4671
TS6 0,4853
GU35 0,4770
RG30 4,5169
SA3 3,1886
BS35 4,2226
CB2 3,91
LL75 8,760
NP4 6,3592
L33 1,2140
CH65 6,1507
KT18 7,3282
KT4 8,7384
EC2Y 5,12
CV1 3,2689
CO6 4,2600
L69 3,1
PO8 9,6114
AB34 5,2156
BA12 6,2110
GU18 5,2909
M23 2,2710
ME5 7,5499
BS32 9,2144
N17 9,6399
GL51 9,2827
DN35 8,3977
GL16 8,3353
L15 9,684
NG15 8,2891
SP1 3,6087
LA12 8,1467
SM7 1,2715
TR3 6,3761
CB22 7,1395
LN6 8,4886
M28 7,3261
EH6 8,6002
LU3 1,6819
NE42 6,2669
S25 4,2813
SG1 6,2631
HU5 1,2391
SA73 3,3002
CM14 4,5929
NE20 9,4548
LS26 0,6281
HP3 9,6700
GL50 1,1003
WC1B 5,160
SK22 4,2838
HX2 7,2738
CV1 5,4290
L15 6,1143
B45 0,3260
M5 3,3566
ST10 2,2231
SN5 6,2059
DN3 1,3765
WV12 4,4550
CV31 1,5565
WV2 2,2678
YO32 2,2585
SA8 4,3684
CT3 2,1376
PR26 6,1237
SK2 7,3466
ME19 4,3382
TQ9 7,2477
BS37 8,2559
GL6 7,1720
BH16 6,2291
TW1 1,3693
SA1 3,2127
SN7 8,2348
SL1 3,5404
B20 2,4353
IP20 0,1176
SK15 1,4309
DN14 0,3251
HX1 3,3194
