Date,Lat,Lng,Speed(mph),Speed(km/h),Altitude(ft),Altitude(m),Accuracy,Type,Date2
25/03/2020 18:45,52.21676,0.12285,,,32,10,65,GPS,2020-03-25 18:45:34+00:00
25/03/2020 18:58,52.21653,0.12289,2,3,36,11,52,GPS,2020-03-25 18:58:55+00:00
25/03/2020 19:00,52.21676,0.123,2,3,45,14,4,GPS,2020-03-25 19:00:23+00:00
25/03/2020 19:01,52.21687,0.12369,7,11,36,11,4,GPS,2020-03-25 19:01:43+00:00
25/03/2020 19:03,52.21479,0.12626,13,21,29,9,4,GPS,2020-03-25 19:03:02+00:00
25/03/2020 19:04,52.2091,0.12723,23,37,26,8,5,GPS,2020-03-25 19:04:22+00:00
25/03/2020 19:05,52.20843,0.13561,17,27,45,14,4,GPS,2020-03-25 19:05:42+00:00
25/03/2020 19:07,52.2071,0.13669,12,19,42,13,4,GPS,2020-03-25 19:07:01+00:00
25/03/2020 19:08,52.20627,0.1387,9,14,42,13,4,GPS,2020-03-25 19:08:17+00:00
25/03/2020 19:09,52.20351,0.14086,3,5,49,15,5,GPS,2020-03-25 19:09:37+00:00
25/03/2020 19:10,52.20545,0.14148,0,0,49,15,5,GPS,2020-03-25 19:10:57+00:00
25/03/2020 19:12,52.20739,0.14223,11,18,42,13,5,GPS,2020-03-25 19:12:17+00:00
25/03/2020 19:13,52.20654,0.14161,0,0,45,14,5,GPS,2020-03-25 19:13:37+00:00
25/03/2020 19:17,52.20673,0.1415,10,16,42,13,4,GPS,2020-03-25 19:17:02+00:00
25/03/2020 19:18,52.20602,0.14223,9,14,42,13,4,GPS,2020-03-25 19:18:22+00:00
25/03/2020 19:19,52.20487,0.14179,11,18,49,15,5,GPS,2020-03-25 19:19:42+00:00
25/03/2020 19:21,52.2014,0.14193,10,16,52,16,5,GPS,2020-03-25 19:21:02+00:00
25/03/2020 19:22,52.20355,0.14054,13,21,49,15,5,GPS,2020-03-25 19:22:22+00:00
25/03/2020 19:23,52.2052,0.13779,9,14,45,14,5,GPS,2020-03-25 19:23:42+00:00
25/03/2020 19:24,52.20679,0.13629,11,18,45,14,4,GPS,2020-03-25 19:24:58+00:00
25/03/2020 19:26,52.2105,0.13686,29,47,32,10,4,GPS,2020-03-25 19:26:15+00:00
25/03/2020 19:27,52.21747,0.13421,22,35,32,10,5,GPS,2020-03-25 19:27:35+00:00
25/03/2020 19:28,52.21651,0.12646,10,16,39,12,4,GPS,2020-03-25 19:28:51+00:00
25/03/2020 19:30,52.22048,0.11984,17,27,55,17,4,GPS,2020-03-25 19:30:11+00:00
25/03/2020 19:31,52.22058,0.11195,18,29,65,20,5,GPS,2020-03-25 19:31:31+00:00
25/03/2020 19:32,52.21457,0.11103,10,16,68,21,5,GPS,2020-03-25 19:32:51+00:00
25/03/2020 19:34,52.21512,0.11949,18,29,45,14,4,GPS,2020-03-25 19:34:11+00:00
25/03/2020 19:35,52.21565,0.12476,6,10,36,11,4,GPS,2020-03-25 19:35:31+00:00
25/03/2020 19:37,52.21675,0.1228,0,0,39,12,4,GPS,2020-03-25 19:37:41+00:00
25/03/2020 19:39,52.2168,0.12292,0,0,39,12,9,GPS,2020-03-25 19:39:00+00:00
