msoa,urban_rural,total_prems,total_prems_density_km2,number_of_aps,number_of_aps_density_km2,source,buffer_size,total_prems_density_km2_decile
E02000030,Rural,6751.0,463.07677758704426,4393.0,301.33258538585176,Predictive Model,100,5
E02000030,Rural,86.88157894736842,518.5173080234572,23.82894736842105,142.2133643541543,Wardriving,300,6
E02000030,Rural,9.4375,300.8880630554967,25.0625,799.0471078493654,Wardriving,100,4
E02000030,Rural,49.91304347826087,538.2461961631452,21.82608695652174,235.3654969284834,Wardriving,200,6
E02000030,Rural,6751.0,463.07677758704426,3771.0,258.6672386728994,Predictive Model,200,5
E02000030,Rural,6751.0,463.07677758704426,3771.0,258.6672386728994,Predictive Model,300,5
E02000036,Suburban,5796.0,3238.422483631444,3997.0,2233.2599494608144,Predictive Model,200,10
E02000036,Suburban,127.21428571428571,1622.3474446224095,39.857142857142854,508.29302307653256,Wardriving,200,8
E02000036,Suburban,5796.0,3238.422483631444,4327.0,2417.6421819657103,Predictive Model,100,10
E02000036,Suburban,213.8095238095238,1460.7243174690227,39.23809523809524,268.0705651658073,Wardriving,300,8
E02000036,Suburban,5796.0,3238.422483631444,3886.0,2171.240471254622,Predictive Model,300,10
E02000036,Suburban,32.714285714285715,1043.002708642811,44.0,1402.815870139676,Wardriving,100,7
E02000039,Suburban,3613.0,1695.5884834893534,2544.0,1193.9045397168322,Predictive Model,100,7
E02000039,Suburban,3613.0,1695.5884834893534,2544.0,1193.9045397168322,Predictive Model,300,7
E02000039,Suburban,3613.0,1695.5884834893534,2544.0,1193.9045397168322,Predictive Model,200,7
E02000039,Suburban,214.96226415094338,1479.5668587760713,39.72641509433962,273.4335136621626,Wardriving,300,8
E02000039,Suburban,106.77464788732394,1373.2886249389771,33.95774647887324,436.7496207265366,Wardriving,200,8
E02000039,Suburban,21.52777777777778,686.352461716011,32.02777777777778,1021.1153398174977,Wardriving,100,6
E02000048,Suburban,4997.0,1617.4344909855988,3905.0,1263.9747222931285,Predictive Model,200,7
E02000048,Suburban,31.0,988.3475448710534,45.30769230769231,1444.507950196155,Wardriving,100,7
E02000048,Suburban,4997.0,1617.4344909855988,4318.0,1397.6550194268193,Predictive Model,300,7
E02000048,Suburban,4997.0,1617.4344909855988,3905.0,1263.9747222931285,Predictive Model,100,7
E02000048,Suburban,221.15384615384616,1510.8999600341122,55.07692307692308,376.2797813511041,Wardriving,300,8
E02000048,Suburban,126.88461538461539,1618.1432012553091,48.34615384615385,616.5522897780913,Wardriving,200,8
E02000054,Suburban,164.4142857142857,2096.7542661604343,41.65714285714286,531.2481918606157,Wardriving,200,9
E02000054,Suburban,2992.0,1996.3560458180234,2873.0,1916.955521268443,Predictive Model,200,8
E02000054,Suburban,2992.0,1996.3560458180234,2873.0,1916.955521268443,Predictive Model,100,8
E02000054,Suburban,40.02857142857143,1276.1980740685071,40.8,1300.7928977657589,Wardriving,100,8
E02000054,Suburban,2992.0,1996.3560458180234,3171.0,2115.790448291762,Predictive Model,300,8
E02000054,Suburban,271.46666666666664,1854.6318906519566,48.08571428571429,328.51657367042276,Wardriving,300,9
E02000055,Urban,4222.0,2924.8904408173116,4487.0,3108.4754637487626,Predictive Model,100,9
E02000055,Urban,225.25641025641025,1538.9282491477893,86.62820512820512,591.8348423159712,Wardriving,300,8
E02000055,Urban,114.21153846153847,1456.5250791535643,80.75,1029.7943773978475,Wardriving,200,8
E02000055,Urban,4222.0,2924.8904408173116,5122.0,3548.3867451128067,Predictive Model,200,9
E02000055,Urban,4222.0,2924.8904408173116,4277.0,2962.9929927464805,Predictive Model,300,9
E02000055,Urban,22.884615384615383,729.6114009904146,88.53846153846153,2822.7990673612344,Wardriving,100,6
