ID,Gross Internal Area (GIA) (m^2),AP Count
242,41990.31,122
39,25319.84,102
230,16754.71,92
23,18239.55,74
87,5926.23,65
74,5357.46,64
11,14121.36,51
66,10901.43,45
176,2778.67,41
206,9744.99,39
72,4749.16,39
27,10241.22,38
126,5347.41,38
180,3147.14,36
35,7028.97,35
182,12786.27,33
76,8139.52,33
3,3940.49,32
224,3881.92,32
1,2828.63,31
48,7596.7,27
216,5462.75,27
41,3784.33,27
91,1317.8,27
34,5025.93,26
38,2698.65,26
120,2401.5,26
56,2006.1,26
60,2601.94,25
4,2604.49,24
152,1806.3,24
157,11415.15,23
92,4290.66,23
79,5407.46,22
58,4749.16,22
134,4393.34,22
144,3544.83,22
80,8618.23,21
194,3617.21,21
82,5147.12,20
190,3700.71,20
21,3455.17,20
6,2362.84,20
2,2355.05,20
146,1567.81,20
125,2685.27,19
147,1551.9,19
234,2358.92,18
75,4377.98,17
237,2411.37,17
133,4427.09,16
116,3798.2,16
240,3386.61,16
84,1772.42,16
155,621.39,16
63,1953.77,15
50,4506.28,14
177,3436.78,14
209,2745.95,14
172,2202.35,14
239,2171.89,14
148,1577.52,14
184,1360.27,14
174,1072.9,14
29,823.01,13
130,3389.01,12
143,2341.05,12
93,977.86,12
65,462.61,12
121,7181.4,11
107,5868.64,11
192,3792.2,11
145,1519.18,11
218,1188.25,11
119,3388.12,10
73,2311.21,10
61,1644.23,10
150,1568.9,10
149,1544.01,10
195,1234.51,10
204,6590.21,9
55,3032.02,8
5,2223.16,8
7,1739.07,8
131,670.6,8
215,544.16,8
178,2798.43,7
142,1373.19,7
245,450.26,7
135,11141.95,6
67,1739.07,6
205,1133.92,6
173,959.54,6
98,898.51,6
81,2562.71,5
198,1724.98,5
31,1491.19,5
40,1448.71,5
186,856.7,5
187,628.01,5
