ID,Gross Internal Area (GIA) (m^2),AP Count
242,41990.31,122
39,25319.84,102
230,16754.71,92
23,18239.55,74
87,5926.23,65
74,5357.46,64
11,14121.36,51
66,10901.43,45
176,2778.67,41
206,9744.99,39
72,4749.16,39
27,10241.22,38
126,5347.41,38
180,3147.14,36
35,7028.97,35
182,12786.27,33
76,8139.52,33
3,3940.49,32
224,3881.92,32
1,2828.63,31
48,7596.7,27
216,5462.75,27
41,3784.33,27
91,1317.8,27
34,5025.93,26
38,2698.65,26
120,2401.5,26
56,2006.1,26
60,2601.94,25
4,2604.49,24
152,1806.3,24
157,11415.15,23
92,4290.66,23
79,5407.46,22
58,4749.16,22
134,4393.34,22
144,3544.83,22
80,8618.23,21
194,3617.21,21
82,5147.12,20
190,3700.71,20
21,3455.17,20
6,2362.84,20
2,2355.05,20
146,1567.81,20
125,2685.27,19
147,1551.9,19
234,2358.92,18
75,4377.98,17
237,2411.37,17
